Organization Name,NY Reg #,EIN,Registrant Type,City,State
,,,,,
"""Forever Captain Poodaman"" The Ahmad Butler Foundation",48-07-16,843800926,NFP,PHILADELPHIA,PA
"""R"" S.U.C.C.E.S.S. Foundation Inc.",49-06-59,874012670,NFP,ROCHESTER,NY
"""Studio 5404"" Inc.",44-39-58,463180470,NFP,MASSAPAQUA,NY
"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128,NFP,HUDSON,NY
"""Y"" Dive, Inc.",48-45-01,854252095,NFP,SAINT ALBANS,NY
"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182,NFP,BROOKLYN,NY
#FeedHamburg,48-37-35,854150318,NFP,HAMBURG,NY
#HicksStrong Inc.,48-10-48,842612081,NFP,CLIFTON PARK,NY
#WalkAway Foundation,47-15-80,832820906,NFP,CARLSBAD,CA
04/11 10:17 PM test,47-13-95,206256427,NFP,ALBANY,NY
1/20/21 Action Fund,46-99-13,832210730,NFP,SAN FRANCISCO,CA
"10/40 Connections, Inc.",45-70-15,621825230,NFP,HIXSON,TN
"1000 Feet Project, Inc",45-00-14,473820859,NFP,NEW YORK,NY
1000 Islands Hose Haulers,45-38-38,454570241,NFP,CARTHAGE,NY
"1004 Foundation, Inc.",45-00-13,463110658,NFP,LONG ISLAND CITY,NY
"100 BLACK MEN OF LONG ISLAND DEVELOPMENT GROUP, INC.",20-08-47,113617702,NFP,HEMPSTEAD,NY
100 BLACKS WHO CARE INC,06-42-84,311628801,NFP,BROOKLYN,NY
100 BLACK WOMEN OF LONG ISLAND FOUNDATION INC,05-79-45,113101805,NFP,GARDEN CITY,NY
"100Cameras, Inc.",43-16-19,264692506,NFP,NEW YORK,NY
100 CLUB OF BUFFALO INC,03-01-89,160957291,NFP,BUFFALO,NY
"100 E. 182ND Street Housing Development Fund Company, Inc.",43-46-29,133881096,NFP,BRONX,NY
100 GROTON PARKWAY INC,15-51-96,222661001,NFP,ROCHESTER,NY
